t	x1	y1	x2	y2	
4,867	0,405	0,326	-0,288	0,335
4,900	0,405	0,326	-0,288	0,335
4,933	0,405	0,326	-0,288	0,335
4,967	0,405	0,326	-0,288	0,335
5,000	0,405	0,326	-0,288	0,335
5,033	0,405	0,326	-0,288	0,335
5,067	0,405	0,326	-0,288	0,335
5,100	0,405	0,326	-0,288	0,335
5,133	0,405	0,326	-0,288	0,335
5,167	0,405	0,326	-0,288	0,335
5,200	0,405	0,326	-0,288	0,335
